GForce,ResponseID,ResponseTime (uS)
0.0,3,3949196
0.0,3,3857096
0.0,3,6734067
0.0,3,8189300
0.0,3,9399910
0.0,3,11143229
0.0,3,14268892
0.0,3,12562070
0.0,3,8127674
0.0,3,8815843
0.0,3,10040734
0.0,3,8819541
0.0,3,9473492
0.0,3,11482007
0.0,3,9635439
0.0,3,6784425
0.0,3,11870898
0.0,3,7358663
0.0,3,3330651
0.0,3,5630593
0.0,3,6378527
0.0,3,6291409
0.0,3,6724149
0.0,3,4924930
0.0,3,6352907
0.0,3,9061398
0.0,3,13074970
0.0,3,8522039
0.0,3,8888831
0.0,3,11774206
0.05,3,4635172
0.05,3,11015658
0.05,3,5688928
0.05,3,9998340
0.05,3,10837187
0.05,3,10036630
0.05,3,4918347
0.05,3,2145028
0.05,3,2887269
0.05,3,4588787
0.05,3,6793724
0.05,3,7955202
0.05,3,7960718
0.05,3,7449964
0.05,3,9702068
0.05,3,7646629
0.05,3,9077074
0.05,3,9227694
0.05,3,9615137
0.05,3,11565020
0.05,3,14828165
0.05,3,14756462
0.05,3,11255853
0.05,3,8104635
0.05,3,7080908
0.05,3,11083786
0.05,3,12223198
0.05,3,4308513
0.05,3,2762231
0.05,3,7407413
0.1,3,4305662
0.1,3,10766125
0.1,3,10363973
0.1,3,8973519
0.1,3,7810638
0.1,3,9846807
0.1,3,7904505
0.1,3,8441884
0.1,3,8912663
0.1,3,10807583
0.1,3,3014089
0.1,3,3440565
0.1,3,5378919
0.1,3,6129529
0.1,3,10064775
0.1,3,10178823
0.1,3,9485020
0.1,3,6531961
0.1,3,4836144
0.1,3,3983719
0.1,3,4778334
0.1,3,7683296
0.1,3,8725008
0.1,3,11928113
0.1,3,7346689
0.1,3,3207816
0.1,3,5379580
0.1,3,7754078
0.1,3,5009229
0.1,3,9376985
0.15,2,12110577
0.15,3,5156078
0.15,2,7299893
0.15,2,11354222
0.15,3,8544926
0.15,3,6343045
0.15,3,6520531
0.15,3,9928280
0.15,2,13265616
0.15,2,14714908
0.15,2,3865171
0.15,3,16912633
0.15,3,10448495
0.15,3,10295847
0.15,3,10627254
0.15,2,9646293
0.15,2,15659211
0.15,2,10191665
0.15,3,9157230
0.15,3,6428385
0.15,3,6768535
0.15,2,9585021
0.15,2,10323587
0.15,2,5639638
0.15,3,8253505
0.15,3,8254384
0.15,3,6709051
0.15,3,10425227
0.15,3,5847949
0.15,3,9636962
0.2,2,5508316
0.2,2,5264030
0.2,2,8481383
0.2,2,3675861
0.2,2,5969794
0.2,2,8638618
0.2,3,18246920
0.2,2,4013232
0.2,2,12370485
0.2,2,8377348
0.2,2,11648885
0.2,1,2824789
0.2,2,3618735
0.2,1,12454027
0.2,3,8007880
0.2,2,10832738
0.2,2,3009993
0.2,2,3138645
0.2,3,6623184
0.2,2,7020060
0.2,1,4456200
0.2,1,3408579
0.2,1,3613263
0.2,2,10609751
0.2,2,3838047
0.2,3,7003907
0.2,2,10668640
0.2,2,9578261
0.2,2,8909925
0.2,2,5941505
0.25,2,4935467
0.25,2,12226708
0.25,2,7840705
0.25,1,1875808
0.25,2,12012317
0.25,2,5063816
0.25,2,11613446
0.25,2,4133943
0.25,1,3086614
0.25,1,3601033
0.25,2,8886302
0.25,2,10982067
0.25,1,2327819
0.25,1,2019897
0.25,2,6714456
0.25,1,3724712
0.25,2,5876318
0.25,2,3648980
0.25,2,8940959
0.25,1,2878773
0.25,1,1596880
0.25,1,1403650
0.25,2,6017901
0.25,2,1946146
0.25,1,3379692
0.25,1,2188199
0.25,1,1773574
0.25,1,1640409
0.25,1,2611470
0.25,1,2881780
0.3,1,1916349
0.3,1,1739113
0.3,2,4197555
0.3,1,3142906
0.3,1,2699482
0.3,1,4986207
0.3,1,2845690
0.3,2,14268987
0.3,1,886338
0.3,1,3993740
0.3,1,1570093
0.3,1,947818
0.3,1,2937778
0.3,1,2795606
0.3,1,8895893
0.3,1,2488641
0.3,1,1629658
0.3,1,1712071
0.3,1,1337320
0.3,1,1097463
0.3,1,1628167
0.3,1,4611323
0.3,1,1479639
0.3,2,9306350
0.3,2,4768173
0.3,1,4465954
0.3,1,2802459
0.3,1,2284039
0.3,1,1067318
0.3,1,1190046
